first_air_date,name,overview,popularity,vote_average,vote_count,adult
2024-03-09,Queen of Tears,The queen of department stores and the prince of supermarkets weather a marital crisis—until love miraculously begins to bloom again.,16.784,8.387,463,False
2011-10-26,Frozen Planet,"David Attenborough travels to the end of the earth, taking viewers on an extraordinary journey across the polar regions of our planet.",6.7143,8.4,302,False
2020-08-10,Go Ahead,"Three friends from troubled families form a unique, lasting bond — but their pasts soon cast a cloud over their lives.",6.364,8.386,207,False
2015-06-26,Dragons: Race to the Edge,"Unlock the secrets of the Dragon Eye and come face to face with more dragons than anyone has ever imagined as Hiccup, Toothless and the Dragon Riders soar to the edge of adventure.",19.5841,8.386,472,False
2015-01-10,Assassination Classroom,"The students of Class 3-E have a mission: kill their teacher before graduation. He has already destroyed the moon, and has promised to destroy the Earth if he can not be killed within a year. But how can this class of misfits kill a tentacled monster, capable of reaching Mach 20 speed, who may be the best teacher any of them have ever had?",17.0882,8.386,1205,False
2020-01-31,Itaewon Class,"In a colorful Seoul neighborhood, an ex-con and his friends fight a mighty foe to make their ambitious dreams for their street bar a reality.",9.0657,8.383,397,False
1994-10-17,Magic Knight Rayearth,"While on a field trip to the Tokyo Tower, three middle school girls suddenly find themselves in another world and must save its princess to return home.",10.3239,8.4,209,False
2021-07-07,TSUKIMICHI -Moonlit Fantasy-,"Makoto Misumi is just an ordinary high school student living a regular life, but all of a sudden gets summoned to the other world to become a ""hero."" The goddess of the other world, however, insults him for being different and strips his ""hero"" title, before casting him off to the wilderness at the edge of the world. As he wanders the wilderness, Makoto encounters dragons, spiders, orcs, dwarves, and all sorts of non-human tribes. Because Makoto comes from a different world, he is able to unleash unimaginable magical powers and combat skills. But just how will he handle his encounters with various species and survive in his new environment. In this fantasy, Makoto tries to transform the other world into a better place despite the humans and gods having turned their backs on him.",17.192,8.382,410,False
2015-10-05,One-Punch Man,"Saitama is a hero who only became a hero for fun. After three years of “special” training, though, he’s become so strong that he’s practically invincible. In fact, he’s too strong—even his mightiest opponents are taken out with a single punch, and it turns out that being devastatingly powerful is actually kind of a bore. With his passion for being a hero lost along with his hair, yet still faced with new enemies every day, how much longer can he keep it going?",32.5548,8.377,4069,False
2023-10-08,Rigo,,3.2615,8.377,324,False
2019-07-05,Fire Force,"Year 198 of the Solar Era in Tokyo, special fire brigades are fighting against a phenomenon called spontaneous human combustion where humans beings are turned into living infernos called ""Infernals"". While the Infernals are first generation cases of spontaneous human combustion, later generations possess the ability to manipulate flames while retaining human form. Shinra Kusakabe, a youth who gained the nickname Devil's Footprints for his ability to ignite his feet at will, joins the Special Fire Force Company 8 which composes of other flames users as they work to extinguish any Infernals they encounter. As a faction that is creating Infernals appears, Shira begins to uncover the truth behind a mysterious fire that caused the death of his family twelve years ago.",10.9976,8.376,622,False
1992-03-07,Sailor Moon,"One day, Usagi Tsukino, clumsy 2nd-year middle school student, stumbles upon a talking cat named Luna. Luna tells her that she is destined to be Sailor Moon, ""champion of love and justice"", and she must search for the fabled Moon Princess. Usagi finds friends that turn out to be destined senshi as well, and together they fight to save the world from the certain doom brought upon by the Dark Kingdom.",24.9347,8.374,1005,False
1987-09-28,Star Trek: The Next Generation,"Follow the intergalactic adventures of Capt. Jean-Luc Picard and his loyal crew aboard the all-new USS Enterprise NCC-1701D, as they explore new worlds.",48.7769,8.374,1730,False
2014-10-07,Yona of the Dawn,"Currently, Hiryuu Palace has no one else next in line for the throne other than the fifteen year old princess, Yona, who had been raised with care. Finally, the night of her sixteenth birthday arrives. She expects it to be a wonderful day spent with her peace-loving father, her servant and friend Hak, and her cousin Soo-won, who she had feelings for... However... That night, Yona goes to visit her father to tell him how she really feels, because he opposes to her getting married to Soo-won. However, when she gets to her room, she encounters a shocking truth.",13.3185,8.4,290,False
1999-03-28,Futurama,"The adventures of a late-20th-century New York City pizza delivery boy, Philip J. Fry, who, after being unwittingly cryogenically frozen for one thousand years, finds employment at Planet Express, an interplanetary delivery company in the retro-futuristic 31st century.",38.4593,8.371,3694,False
1993-09-10,The X-Files,"The exploits of FBI Special Agents Fox Mulder and Dana Scully who investigate X-Files: marginalized, unsolved cases involving paranormal phenomena. Mulder believes in the existence of aliens and the paranormal while Scully, a skeptic, is assigned to make scientific analyses of Mulder's discoveries that debunk Mulder's work and thus return him to mainstream cases.",72.038,8.37,3509,False
2009-10-07,From Me to You: Kimi ni Todoke,"Nicknamed ""Sadako"" for her spooky appearance, high schooler Sawako begins to break out of her shell when she befriends popular boy Kazehaya.",25.975,8.369,348,False
1978-04-04,Future Boy Conan,"After the great disaster of 2008, a war that destroyed the planet, the world is now largely ocean with the continents having sunk. Conan lives on a remote island with his grandpa and nature, never having seen another human being. But one day a mysterious girl, Lana, washes up on his beach. The two become quick friends, but she’s soon kidnapped and taken to Industria, a technological remainder from the world before. Conan leaves his island in pursuit, braving new lands and many hardships with new friends and enemies just beyond the horizon.",10.7807,8.4,210,False
2003-07-19,Teen Titans,"Fighting for truth, justice and the last slice of pizza, these five superheroes are living proof you're never too young to save the planet. Protecting Earth and beyond, the Teen Titans use martial arts and gadgetry to battle villains.",20.8514,8.367,1306,False
2018-02-26,Final Space,"An astronaut named Gary and his planet-destroying sidekick Mooncake embark on serialized journeys through space in order to unlock the mystery of “Final Space,” the last point in the universe, if it actually does exist.",7.4454,8.369,944,False
2012-10-15,Slugterra,"Following his father's death, 15-year-old Eli Shane embraces his destiny to follow in his dad's footsteps to a secret, subterranean world called Slugterra where he is determined to be the greatest Slugslinging hero of them all!",5.5961,8.4,884,False
2024-09-19,The Penguin,"With the city in peril following the seawall's collapse, Oswald ""Oz"" Cobb seeks to fill the power vacuum left by the death of Carmine Falcone and finally give his mother Francis the life he's always promised. But first, Oz must confront his enemies and his own demoralizing reputation as ""the Penguin.""",12.9749,8.364,1291,False
2017-07-05,Snowfall,"Los Angeles. 1983. A storm is coming and its name is crack. Set against the infancy of the crack cocaine epidemic and its ultimate radical impact on the culture as we know it, the story follows numerous characters on a violent collision course.",33.8546,8.365,736,False
2015-01-18,Star vs. the Forces of Evil,"Intergalactic warrior Star Butterfly arrives on Earth to live with the Diaz family. She continues to battle villains throughout the universe and high school, mainly to protect her extremely powerful wand, an object that still confuses her.",22.4743,8.4,1479,False
2016-02-24,Descendants of the Sun,"After a chance meeting in a hospital, an ardent soldier falls for a gifted surgeon. Opposing philosophies tear them apart, but fate has other plans.",10.9348,8.363,798,False
2002-10-03,Naruto,"Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja.",50.2718,8.4,5932,False
2024-11-22,When the Phone Rings,A rising politician and his mute wife's tense marriage begins to unravel after a call from a kidnapper turns their lives upside down.,8.792,8.358,281,False
2004-10-05,Bleach,"For as long as he can remember, Ichigo Kurosaki has been able to see ghosts. But when he meets Rukia, a Soul Reaper who battles evil spirits known as Hollows, he finds his life is changed forever. Now, with a newfound wealth of spiritual energy, Ichigo discovers his true calling: to protect the living and the dead from evil.",58.835,8.356,2094,False
2004-01-11,Drake & Josh,"Fifteen-year-old Drake and Josh are schoolmates, but not close friends. Drake views Josh as weird and a bit of a goof. So, imagine Drake's shock when he finds out that this ""goof"" is about to become his new step-brother and roommate when his mother marries Josh's father. A spin off of The Amanda Show.",18.7535,8.355,1931,False
2006-10-05,Code Geass: Lelouch of the Rebellion,"Japan has been invaded and conquered by the Britannian Empire. Japan is now known as Area 11 and its citizens known as Elevens. The Britannian Empire takes away Japan's autonomous power and imposes its rule through the use of Knightmares. The Empire's rule has never faltered, but cracks have begun to show...",26.1274,8.353,866,False
1989-04-26,Dragon Ball Z,"Now happily married and with a son, martial arts champion Goku must defend Earth from a series of extraterrestrial invaders bent on destruction.",60.8436,8.354,4790,False
2008-09-23,The Mentalist,"Patrick Jane, a former celebrity psychic medium, uses his razor sharp skills of observation and expertise at ""reading"" people to solve serious crimes with the California Bureau of Investigation.",177.7285,8.354,4225,False
2022-11-23,Wednesday,"Smart, sarcastic and a little dead inside, Wednesday Addams investigates twisted mysteries while making new friends — and foes — at Nevermore Academy.",49.2033,8.351,10431,False
1990-04-08,Twin Peaks,The body of Laura Palmer is washed up on a beach near the small Washington state town of Twin Peaks. FBI Special Agent Dale Cooper is called in to investigate her strange demise only to uncover a web of mystery that ultimately leads him deep into the heart of the surrounding woodland and his very own soul.,53.8311,8.352,2537,False
2022-10-27,Romantic Killer,"Living her best single life, romance is the last thing on Anzu's mind — until a tiny match-making wizard suddenly turns her life into a clichéd romcom.",4.2183,8.3,200,False
2020-10-07,Tale of the Nine Tailed,A TV producer discovers a secret supernatural world as she becomes entangled with a former deity who's spent centuries searching for his lost lover.,7.0859,8.3,485,False
2020-10-26,The Penthouse,"A woman puts everything on the line to achieve her goal of being able to move into a luxury penthouse in the Gangnam District. In the process, she gradually finds herself turning into a monster.",17.8994,8.3,247,False
2017-04-04,Akashic Records of Bastard Magic Instructor,"The Alzano Imperial Magic Academy is located in the southern part of the Alzano Empire and is among most prominent magic schools in the world, where students can learn the highest forms of magic. All those who strive to learn magic dream of studying at this academy, and its students as well as its teachers are proud to be a part of its 400-year history. Glenn Radars is a new instructor who has suddenly been appointed to teach part-time at this highly respected academy. The previously unheard-of lessons of this man known as a good-for-nothing bastard are about to begin.",8.6795,8.3,598,False
2020-08-14,Ted Lasso,"Ted Lasso, an American football coach, moves to England when he's hired to manage a soccer team—despite having no experience. With cynical players and a doubtful town, will he get them to see the Ted Lasso Way?",25.3256,8.344,2292,False
1999-10-25,"Yo soy Betty, la fea","Beatriz Pinzón Solano is a brilliant economist with a master's degree in finance; she has only one flaw: she's ugly. Everything changes when she starts working at Ecomoda, one of the country's largest companies, where she meets and falls in love with Armando Mendoza. This time, life will give her a second chance to prove she can become the most desired and beloved woman in the world.",14.2946,8.34,3509,False
2019-07-31,KENGAN ASHURA,"Ohma Tokita enters a hidden world where corporate disputes are settled in brutal gladiator bouts. Forget the money, he just wants to fight — and win.",9.7208,8.336,1030,False
2014-10-09,Parasyte -the maxim-,"A species of parasitic aliens descends on Earth and quickly infiltrates humanity by entering the brains of vulnerable targets; insatiable beings that gain total control of their host and are capable of transforming themselves to feed on unsuspecting prey. High school student Shinichi Izumi falls victim to one of these parasites, but the creature fails to take over his brain and ends up in his right hand.",15.4557,8.3,1387,False
1997-08-13,South Park,"Follow the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",66.5136,8.335,4927,False
2023-05-25,Vgly,"Though stuck at the bottom of the social ladder with no money or contacts, aspiring artist Vgly and his crew strive to break into the music business.",2.3502,8.3,252,False
2022-02-06,Power Book IV: Force,"Tommy Egan leaves New York behind and plans to take on Chicago, using his outsider status to break all the local rules and rewrite them on his quest to become the biggest drug dealer in the city.",13.802,8.333,215,False
2020-09-21,18 Again,"At a difficult place in his marriage and career, a middle-aged man gets a shot at a do-over when he's transformed back into his 18-year-old body.",4.7384,8.3,260,False
1988-01-31,The Wonder Years,"The story of Kevin Arnold facing the trials and tribulations of youth while growing up during the 1960s and 70s. Told through narration from an adult Kevin, Kevin faces the difficulties of maintaining relationships and friendships on his enthralling journey into adulthood.",22.9738,8.333,1079,False
2002-09-20,Firefly,"In the year 2517, the universe is a vast frontier where lawlessness reigns and adventure awaits! Join Captain Malcolm Reynolds and his ragtag crew aboard the spaceship Serenity as they navigate the fringes of society, battling the oppressive Alliance and facing off against ruthless bounty hunters.",15.5041,8.333,2352,False
2022-12-08,Lookism,"In a society that favors good looks, a high school outcast leads a double life switching between his two bodies that are polar opposites in appearance.",3.5099,8.3,289,False
2021-01-13,Redo of Healer,"In a world of monsters, adventurers and magic, some of the most gifted healers are subjugated to brute force. Keyaru gains the ability to rewind time and turns the tables on those who’ve exploited him in this dark fantasy tale of vengeance and fury.",23.4616,8.3,1008,False
2017-07-07,Made in Abyss,"Located in the center of a remote island, the Abyss is the last unexplored region, a huge and treacherous fathomless hole inhabited by strange creatures where only the bravest adventurers descend in search of ancient relics. In the upper levels of the Abyss, Riko, a girl who dreams of becoming an explorer, stumbles upon a mysterious little boy.",17.1566,8.33,616,False
2020-01-18,The Daily Life of the Immortal King,"As a cultivation genius who has achieved a new realm every two years since he was a year old, Wang Ling is a near-invincible existence with prowess far beyond his control. But now that he’s sixteen, he faces his greatest battle yet – Senior High School. With one challenge after another popping up, his plans for a low-key high school life seem further and further away…",38.0256,8.3,693,False
2021-04-08,The Way of the Househusband,"After disappearing from the underworld, the legendary yakuza known as the ""Immortal Dragon"" resurfaces — as a fiercely devoted stay-at-home husband.",19.6551,8.326,488,False
2018-06-06,What's Wrong with Secretary Kim,"Lee Young-Joon's family runs a large company and he works as the vice-president of the company. He is smart, rich and handsome, but he is arrogant. His secretary is Kim Mi-So. She has worked for him for years and she is perfect for him, but Kim Mi-So decides to quit her job.",8.2929,8.325,690,False
2020-07-11,Rent-a-Girlfriend,"Kinoshita Kazuya is a 20-year-old failure of a college student. He managed to kiss his girlfriend once, but was dumped after a month. Completely spiteful, Kazuya uses a certain method to date a girl. He goes to their meeting place and a beautiful girl brushing her long, black hair behind her ear was there, smiling at him. Her name was Mizuhara Chizuru. Something real is born after just a single rental! A reckless rom-com filled with love and excitement is about to begin!",45.7181,8.3,953,False
2018-09-25,New Amsterdam,"The new medical director breaks the rules to heal the system at America's oldest public hospital. Max Goodwin sets out to tear up the bureaucracy and provide exceptional care, but the doctors and staff are not so sure he can succeed. They've heard this before. Not taking ""no"" for an answer, Dr. Goodwin's instinctive response to problems large and small is four simple words: ""How can I help?"" He has to disrupt the status quo and prove he'll stop at nothing to breathe new life into this underfunded and underappreciated hospital, returning it to the glory that put it on the map.",31.7164,8.3,1073,False
2019-07-02,Magical Sempai,Our MC finds out that his school requires him to join a club and during his reluctant search he stumbles upon Tejina-senpai attempting magic tricks in her clubroom. Tejina-senpai has massive stage fright however and so now that she has an audience her attempts are simply comedic.,4.8499,8.3,325,False
2018-03-16,On My Block,"In a rough Los Angeles neighborhood, four smart, funny and streetwise teens find their lifelong friendship tested as they begin high school.",7.0535,8.323,674,False
2019-02-08,PEN15,"Middle school as it really happened. Maya Erskine and Anna Konkle star in this adult comedy, playing versions of themselves as thirteen-year-old outcasts in the year 2000, surrounded by actual thirteen-year-olds, where the best day of your life can turn into your worst with the stroke of a gel pen.",7.0726,8.32,303,False
2020-11-28,The Uncanny Counter,"A group of supernatural demon hunters known as ""Counters,"" each with unique abilities, disguise themselves as employees of a noodle restaurant, while tracking down evil spirits that terrorize the mortal world.",24.6052,8.319,417,False
2025-03-30,MobLand,Two mob families clash in a war that threatens to topple empires and lives.,23.227,8.3,626,False
2012-09-28,Teenage Mutant Ninja Turtles,"The Teenage Mutant Ninja Turtles are back in an all-new animated series on Nickelodeon! Surfacing topside for the first time on their fifteenth birthday, the titular turtles, Leonardo, Michelangelo, Raphael and Donatello, find that life out of the sewers isn't exactly what they thought it would be. Now the turtles must work together as a team to take on new enemies that arise to take over New York City.",21.691,8.3,777,False
2011-01-13,Human Planet,A cinematic experience bringing you the most amazing human stories in the world. Humans and wildlife surviving in the most extreme environments on Earth.,2.7958,8.316,207,False
2022-10-09,BOCCHI THE ROCK!,"Hitori Gotoh, a shy, awkward, and lonely high school student dreams of being in a band despite her doubts and worries, but when she is recruited to be the guitarist of a group looking to make it big, she realises her dream may be able to be fulfilled and come true.",15.307,8.315,214,False
2004-04-03,Danny Phantom,"Danny Fenton was once your typical kid until he accidentally blew up his parents' laboratory and became ghost-hunting superhero Danny Phantom. Now half-ghost, Danny's picked up paranormal powers, but only his sister, Jazz, and best friends, Samantha and Tucker, know his secret. Danny's busy fighting ghosts, saving Casper High and hiding his new identity all while trying to graduate.",13.9702,8.315,1156,False
2020-12-28,A Love So Beautiful,"Love is as tough as it is sweet for a lovestruck teenager, whose relationship with her next-door neighbor transforms as they grow into adulthood.",3.8759,8.314,595,False
2016-10-07,"Kiss Him, Not Me","Kae Serinuma is a second year high school student and an avid fujoshi who secretly ships her classmates, Igarashi and Nanashima. The death of her favorite anime character causes her to become stressed and lose weight rapidly. Now that Serinuma has become an attractive girl to her classmates, snarky junior Shinomiya and senior Mutsumi, how is she going to deal with them with her constant BL-filled fujoshi mind?",3.9314,8.314,314,False
2007-04-05,Bakugan Battle Brawlers,Centers on the lives of creatures called Bakugan and the battle brawlers who possess them.,12.4611,8.3,387,False
2017-12-06,I Am Not a Robot,"Kim Min Gyu has wealth and success, but lives an isolated life due to his allergy of people. He then meets and falls in love with a girl who is pretending to be a robot for her ex-boyfriend, a genius robots professor.",5.3558,8.311,815,False
2012-01-10,Another,"When Kouichi arrives at his new school, he immediately senses something frightening in the atmosphere of his new class, something that no student wants to talk about and that seems to be related to a mysterious and silent girl.",9.7709,8.311,1053,False
2016-04-07,Bungo Stray Dogs,"Stalked by a beastly white tiger, Atsushi Nakajima has no idea that the menace lives inside him—a power that catches the attention of the Armed Detective Agency. Using inhuman abilities to combat crime, this team takes Atsushi under the wing of their most eccentric member, Dazai. Together, they tear through mafia-muddled mysteries while enemies keep an eye on the tiger’s lofty bounty.",30.0411,8.3,424,False
2008-04-18,Ben 10: Alien Force,"FIVE YEARS LATER, 15-YEAR-OLD BEN TENNYSON CHOOSES TO ONCE AGAIN PUT ON THE OMNITRIX AND DISCOVERS THAT IT HAS RECALIBRATED AND CAN NOW TRANSFORM HIM INTO 10 BRAND NEW ALIENS. JOINED BY HIS SUPER-POWERED COUSIN GWEN TENNYSON AND HIS EQUALLY POWERFUL FORMER ENEMY KEVIN LEVIN, BEN IS ON A MISSION TO FIND HIS MISSING GRANDPA MAX. IN ORDER TO SAVE HIS GRANDPA, BEN MUST DEFEAT THE EVIL DNALIENS, A POWERFUL ALIEN RACE INTENT ON DESTROYING THE GALAXY, STARTING WITH PLANET EARTH.",16.3181,8.3,1154,False
2017-01-12,Miss Kobayashi's Dragon Maid,"Kobayashi lives alone in an apartment, until one day, Tohru appeared and they ended up living together. Tohru looks down on humans as inferior and foolish, but having been saved by Kobayashi-san, she does everything she can to repay the debt and help her with various things, although not everything goes according to plan. A mythical everyday life comedy about a hard working office lady living with a dragon girl.",18.853,8.307,867,False
2004-07-25,Elfen Lied,"The Diclonius, a mutated homo sapien that is said to be selected by God and will eventually become the destruction of mankind, possesses two horns in their heads, and has a ""sixth sense"" which gives it telekinetic abilities. Due to this dangerous power, they have been captured and isolated in laboratories by the government. Lucy, a young and psychotic Diclonius, manages to break free of her confines and brutally murder most of the guards in the laboratory, only to get shot in the head as she makes her escape. She survives and manages to drift along to a beach, where two teenagers named Kouta and Yuka discovers her. Having lost her memories, she was named after the only thing that she can now say, ""Nyuu,"" and the two allow her to stay at Kouta's home. However, it appears that the evil ""Lucy"" is not dead just yet...",9.217,8.306,1423,False
2022-11-09,Revenge of Others,"A boy falls to his death at school, but Ok Chan-mi does not believe that her twin brother, Park Won-seok, committed suicide. Chan-mi transfers to her brother's school, Yongtan High, and meets Ji Soo-heon, who witnessed her brother's death. A ""hero,"" who avenges bullied students, appears at Yongtan High. Chan-mi speculates that it may be connected to her brother and starts looking for this hero.",8.2136,8.306,297,False
2023-07-05,My Happy Marriage,"Miyo's abusive family deems her worthless – but together with her powerful husband-to-be, her true self and hidden powers slowly begin to shine.",21.6515,8.306,216,False
2020-01-13,Dorohedoro,"Amnesiac Caiman seeks to undo his lizard head curse by killing the sorcerer responsible, with his friend Nikaido's help. In the Hole, that's a threat.",25.9073,8.31,397,False
2005-09-13,Supernatural,"When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranormal evil that lives in the dark corners and on the back roads of America ... and he taught them how to kill it. Now, the Winchester brothers crisscross the country in their '67 Chevy Impala, battling every kind of supernatural threat they encounter along the way. ",191.4968,8.306,8333,False
2022-05-23,Prehistoric Planet,"Experience the wonders of our world like never before in this epic series from Jon Favreau and the producers of Planet Earth. Travel back 66 million years to when majestic dinosaurs and extraordinary creatures roamed the lands, seas, and skies.",9.4846,8.305,487,False
2016-07-11,The Disastrous Life of Saiki K.,"High school sophomore Kusuo Saiki swore as a child that he would keep his psychic talents hidden, but his abilities still make his life difficult.",11.2553,8.304,363,False
2009-09-10,The Vampire Diaries,"The story of two vampire brothers obsessed with the same girl, who bears a striking resemblance to the beautiful but ruthless vampire they knew and loved in 1864.",90.9556,8.305,9535,False
2006-05-22,Hasta que la plata nos separe,"Rafael Méndez and Alejandra Maldonado are salesmen from opposite sides of life. While Méndez depends on informal sales, and that without any higher education degree, Alejandra carries her duties as the Commercial Manager of a car dealership with an MBA degree and a hard attitude up her sleeve. An unfortunate car accident will bring them together, and they will have to get the best of each other in order to survive their respective realities.",2.4152,8.303,403,False
2023-04-12,【OSHI NO KO】,A small-town doctor gets sucked into the ruthless world of show business when he crosses paths with a popular teen idol who holds a secret.,36.6278,8.302,315,False
2020-11-21,Onyx Equinox,"A young Aztec boy is saved from death by the gods and chosen to act as ‘humanity’s champion,’ forced to discard his apathy toward his fellow man and prove humanity’s potential in a fight that spans across fantastical-yet-authentic Mesoamerican cultures.",1.4294,8.302,255,False
2014-12-08,Healer,"A star reporter, a second-rate journalist and a man by the code name ""Healer"" are brought together by a long-buried incident that hides dark truths.",6.4179,8.302,308,False
2023-04-08,MASHLE: MAGIC AND MUSCLES,"This is a world of magic where magic is used for everything. But deep in the forest exists a young man who spends his time training and bulking up. He can't use magic, but he enjoys a peaceful life with his father. But one day, his life is put in danger! Will his muscular body protect him from the magic users who are out to get him? Powerfully trained muscles crush magic as this abnormal magical fantasy begins!",22.498,8.301,618,False
2020-07-10,Uzaki-chan Wants to Hang Out!,"Shinichi Sakurai’s one wish is for a little peace and quiet. But Hana Uzaki — his boisterous, well-endowed underclassman — has other plans. All she wants is to hang out and poke fun at him. With the help of her chipper charm and peppy persistence, this might just be the start of a beautiful relationship!",13.1424,8.3,978,False
2013-12-18,My Love from the Star,"An alien who came to Earth 400 years ago is almost able to return to his own planet, but when he meets a famous actress, he doesn't want to go home.",10.1956,8.301,809,False
2004-05-20,Samurai Champloo,"Break-dancing but fierce warrior Mugen has to deal with the cold-blooded and conceited Jin, a samurai who believes he is above all. These sworn enemies are brought together by Fuu for a special task.",12.5902,8.301,756,False
2019-01-11,The Promised Neverland,"Emma, Norman and Ray are the brightest kids at the Grace Field House orphanage. And under the care of the woman they refer to as “Mom,” all the kids have enjoyed a comfortable life. Good food, clean clothes and the perfect environment to learn—what more could an orphan ask for? One day, though, Emma and Norman uncover the dark truth of the outside world they are forbidden from seeing.",13.2765,8.3,1250,False
2019-11-29,Harley Quinn,"Harley Quinn has finally broken things off once and for all with the Joker. Now, she's trying to make it on her own as the criminal Queenpin of Gotham City, with help from Poison Ivy and a ragtag crew of DC castoffs.",17.7548,8.3,1141,False
2021-10-07,Komi Can't Communicate,"At a high school full of unique characters, Tadano helps his shy and unsociable classmate Komi reach her goal of making friends with 100 people.",16.165,8.3,568,False
2017-07-12,My First Girlfriend Is a Gal,"A new school term begins, as does the season of new encounters. As he surveys his class full of couples, Hashiba Jun'ichi's mind is filled with distress as he asks himself, ""Why am I still a virgin?!"" Having heard from his friends that the easiest way to fulfill his long-standing desire to graduate from the fellowship of virgins is to kowtow to a gal, Jun'ichi does exactly that and asks his classmate Yukana out. And unbelievably, she actually agrees to date him. What will become of Jun'ichi from now on?",8.6052,8.298,410,False
2005-09-22,Criminal Minds,"An elite team of FBI profilers analyze the country's most twisted criminal minds, anticipating their next moves before they strike again. The Behavioral Analysis Unit's most experienced agent is David Rossi, a founding member of the BAU who returns to help the team solve new cases.",133.5923,8.296,4036,False
2019-09-20,Vagabond,"Stuntman Cha Dal-geon gets involved in a tragic airplane crash and ends up discovering a national corruption scandal in the process. Go Hae-ri, the oldest daughter of a deceased marine, decides to work for the National Intelligence Service as a secret ops agent in order to support her mom and younger siblings, although all she wanted to do is to become a civil servant.",11.1715,8.294,496,False
2022-07-29,Big Mouth,"A lawyer with a ten-percent winning rate is caught up in a murder case and becomes the notorious and genius con artist, Big Mouse, overnight. In order to survive and protect his family, he tries to reveal the true colors of the privileged people involved in a huge conspiracy.",17.4387,8.293,333,False
2020-10-11,Moriarty the Patriot,"In the late 19th century, the British Empire nobility reigns while its working class suffers at their hands. Sympathetic to their plight, William James Moriarty wants to topple it all. Frustrated by the systemic inequity, Moriarty strategizes to fix the entire nation. Not even consulting detective Sherlock Holmes can stand in his way. It’s time for crime to revolutionize the world!",17.287,8.3,231,False
2007-10-05,Clannad,"Tomoya Okazaki is a third year high school student resentful of his life. His mother passed away from a car accident when he was younger, causing his father to resort to alcohol and cigarettes. This results in fights between the two until Tomoya's shoulder is injured in a fight. Since then, Tomoya has had distant relationships with his father, causing him to become a delinquent over time. While on a walk to school, he meets a strange girl named Nagisa Furukawa who is a year older, but is repeating due to illness. Due to this, she is often alone as most of her friends have moved on. The two begin hanging out and slowly, as time goes by, Tomoya finds his life shifting in a new direction.",19.1665,8.291,471,False
2014-04-15,Fargo,"A close-knit anthology series dealing with stories involving malice, violence and murder based in and around Minnesota.",86.6052,8.291,3201,False
2014-06-27,Girl Meets World,"The adventures of relatable and adventurous Riley Matthews, the tween daughter of Cory and Topanga Matthews, and her bold best friend Maya as they traverse the twists and turns of teenage years at Manhattan's John Quincy Adams Middle School where Riley's dad is their History teacher.",11.127,8.29,714,False
1975-09-19,Fawlty Towers,"Owner Basil Fawlty, his wife Sybil, a chambermaid Polly, and Spanish waiter Manuel attempt to run their hotel amidst farcical situations and an array of demanding guests.",11.2538,8.285,795,False
2009-06-24,Saint Seiya: The Lost Canvas,"The Sacred war tale that took place during the 18th century is now unveiled. Tenma, Alone and Sasha, three orphans living their childhood protecting each other and then separated at diferent ages made a pact to meet again. Find themselves again connected but now in roles they never saw as posible. Pegasus, Hades and Athena. Its now time to fight but destiny can be bitter since war between Athena and Hades forces can put old friends and families face to face.",6.3774,8.289,648,False
2022-08-21,House of the Dragon,"The Targaryen dynasty is at the absolute apex of its power, with more than 15 dragons under their yoke. Most empires crumble from such heights. In the case of the Targaryens, their slow fall begins when King Viserys breaks with a century of tradition by naming his daughter Rhaenyra heir to the Iron Throne. But when Viserys later fathers a son, the court is shocked when Rhaenyra retains her status as his heir, and seeds of division sow friction across the realm.",51.1454,8.3,5845,False
1994-11-19,Spider-Man,"Bitten by a neogenetic spider, Peter Parker develops spider-like superpowers. He uses these to fight crime while trying to balance it with the struggles of his personal life.",21.3085,8.3,1118,False
2022-09-21,Andor,"In an era filled with danger, deception and intrigue, Cassian Andor will discover the difference he can make in the struggle against the tyrannical Galactic Empire. He embarks on a path that is destined to turn him into a rebel hero.",45.157,8.3,1960,False
2014-07-02,Fated to Love You,A wealthy business heir marries an ordinary office worker after they have a one-night stand that leads to her unexpectedly becoming pregnant.,5.689,8.286,266,False
2014-01-12,True Detective,"An American anthology police detective series utilizing multiple timelines in which investigations seem to unearth personal and professional secrets of those involved, both within or outside the law.",51.766,8.286,4062,False
2015-09-16,She Was Pretty,"After a complete reversal of fortune and looks, childhood sweethearts reunite for the first time in 15 years as employees at a fashion magazine.",6.6813,8.284,966,False
1997-07-27,Stargate SG-1,"The story of Stargate SG-1 begins about a year after the events of the feature film, when the United States government learns that an ancient alien device called the Stargate can access a network of such devices on a multitude of planets. SG-1 is an elite Air Force special operations team, one of more than two dozen teams from Earth who explore the galaxy and defend against alien threats such as the Goa'uld, Replicators, and the Ori.",96.6201,8.284,1785,False
2018-06-03,Succession,Follow the lives of the Roy family as they contemplate their future once their aging father begins to step back from the media and entertainment conglomerate they control.,30.4752,8.3,1581,False
2011-12-04,Black Mirror,"Twisted tales run wild in this mind-bending anthology series that reveals humanity's worst traits, greatest innovations and more.",56.2854,8.282,6105,False
